order_id,item_id,product_id,quantity,list_price,discount,total price
27,3,26,2,599.99,0.07,1115.98
27,4,8,1,1799.99,0.07,1673.99
28,1,5,1,1320.99,0.05,1254.94
28,2,7,2,3999.99,0.2,6399.98
28,3,14,2,269.99,0.1,485.98
28,4,6,1,469.99,0.05,446.49
29,1,24,2,549.99,0.05,1044.98
29,2,6,1,469.99,0.2,375.99
29,3,21,2,269.99,0.1,485.98
29,4,8,1,1799.99,0.2,1439.99
29,5,14,2,269.99,0.05,512.98
30,1,26,1,599.99,0.05,569.99
30,2,17,1,429,0.07,398.97
30,3,19,1,449,0.1,404.1
30,4,4,1,2899.99,0.1,2609.99
30,5,7,2,3999.99,0.1,7199.98
31,1,11,2,1680.99,0.05,3193.88
31,2,9,2,2999.99,0.2,4799.98
32,1,8,2,1799.99,0.07,3347.98
32,2,12,2,549.99,0.07,1022.98
32,3,25,2,499.99,0.1,899.98
33,1,23,2,299.99,0.07,557.98
33,2,7,1,3999.99,0.1,3599.99
34,1,8,2,1799.99,0.07,3347.98
34,2,10,2,1549,0.1,2788.2
34,3,17,2,429,0.2,686.4
35,1,18,1,449,0.05,426.55
35,2,20,2,599.99,0.05,1139.98
35,3,5,1,1320.99,0.2,1056.79
35,4,21,2,269.99,0.07,502.18
35,5,22,1,269.99,0.07,251.09
36,1,9,1,2999.99,0.07,2789.99
36,2,5,1,1320.99,0.05,1254.94
36,3,3,2,999.99,0.2,1599.98
37,1,16,2,599.99,0.05,1139.98
38,1,7,2,3999.99,0.05,7599.98
38,2,23,1,299.99,0.07,278.99
38,3,25,1,499.99,0.2,399.99
38,4,10,2,1549,0.1,2788.2
38,5,24,1,549.99,0.07,511.49
39,1,22,2,269.99,0.2,431.98
39,2,16,2,599.99,0.2,959.98
39,3,3,2,999.99,0.05,1899.98
39,4,15,1,529.99,0.1,476.99
40,1,17,1,429,0.2,343.2
40,2,8,2,1799.99,0.2,2879.98
41,1,5,1,1320.99,0.1,1188.89
41,2,19,2,449,0.2,718.4
41,3,26,2,599.99,0.2,959.98
42,1,19,1,449,0.05,426.55
43,1,13,2,269.99,0.1,485.98
43,2,12,2,549.99,0.05,1044.98
44,1,7,1,3999.99,0.1,3599.99
44,2,16,1,599.99,0.05,569.99
45,1,4,2,2899.99,0.2,4639.98
45,2,22,1,269.99,0.07,251.09
45,3,21,2,269.99,0.05,512.98
46,1,17,1,429,0.1,386.1
47,1,6,1,469.99,0.05,446.49
47,2,15,1,529.99,0.1,476.99
47,3,25,2,499.99,0.07,929.98
47,4,13,1,269.99,0.2,215.99
48,1,11,1,1680.99,0.1,1512.89
48,2,4,1,2899.99,0.2,2319.99
48,3,5,2,1320.99,0.1,2377.78
48,4,14,2,269.99,0.07,502.18
49,1,13,2,269.99,0.07,502.18
50,1,3,1,999.99,0.05,949.99
50,2,26,2,599.99,0.07,1115.98
50,3,13,2,269.99,0.2,431.98
51,1,13,1,269.99,0.05,256.49
51,2,20,1,599.99,0.05,569.99
51,3,26,2,599.99,0.2,959.98
52,1,25,1,499.99,0.07,464.99
53,1,8,2,1799.99,0.2,2879.98
53,2,23,2,299.99,0.05,569.98
53,3,14,2,269.99,0.2,431.98
53,4,25,2,499.99,0.1,899.98
54,1,26,2,599.99,0.2,959.98
54,2,3,1,999.99,0.2,799.99
55,1,21,1,269.99,0.05,256.49
55,2,25,2,499.99,0.2,799.98
55,3,15,2,529.99,0.2,847.98
56,1,20,2,599.99,0.07,1115.98
57,1,23,2,299.99,0.1,539.98
57,2,19,2,449,0.2,718.4
57,3,13,1,269.99,0.07,251.09
58,1,14,2,269.99,0.05,512.98
58,2,18,1,449,0.07,417.57
58,3,23,1,299.99,0.1,269.99
59,1,21,1,269.99,0.05,256.49
59,2,2,1,749.99,0.1,674.99
59,3,17,2,429,0.1,772.2
60,1,14,2,269.99,0.05,512.98
60,2,4,1,2899.99,0.1,2609.99
60,3,15,1,529.99,0.07,492.89
60,4,22,1,269.99,0.2,215.99
61,1,25,1,499.99,0.1,449.99
61,2,15,2,529.99,0.05,1006.98
61,3,5,2,1320.99,0.2,2113.58
62,1,14,1,269.99,0.07,251.09
62,2,8,2,1799.99,0.1,3239.98
62,3,22,2,269.99,0.1,485.98
63,1,25,2,499.99,0.1,899.98
63,2,19,2,449,0.05,853.1
63,3,3,1,999.99,0.1,899.99
64,1,25,2,499.99,0.1,899.98
64,2,22,2,269.99,0.2,431.98
64,3,23,2,299.99,0.2,479.98
64,4,24,2,549.99,0.1,989.98
65,1,12,1,549.99,0.1,494.99
66,1,2,1,749.99,0.2,599.99
66,2,23,1,299.99,0.07,278.99
66,3,12,1,549.99,0.07,511.49
67,1,23,2,299.99,0.2,479.98
67,2,12,2,549.99,0.1,989.98
67,3,21,1,269.99,0.2,215.99
67,4,5,2,1320.99,0.1,2377.78
67,5,19,1,449,0.2,359.2
68,1,13,2,269.99,0.07,502.18
68,2,17,1,429,0.1,386.1
69,1,22,2,269.99,0.1,485.98
69,2,5,1,1320.99,0.2,1056.79
69,3,10,1,1549,0.05,1471.55
70,1,3,2,999.99,0.05,1899.98
70,2,18,1,449,0.2,359.2
70,3,20,1,599.99,0.05,569.99
71,1,26,2,599.99,0.05,1139.98
71,2,24,1,549.99,0.2,439.99
71,3,18,1,449,0.1,404.1
72,1,17,2,429,0.07,797.94
72,2,12,1,549.99,0.05,522.49
72,3,13,2,269.99,0.1,485.98
73,1,22,1,269.99,0.07,251.09
73,2,26,2,599.99,0.05,1139.98
73,3,3,2,999.99,0.07,1859.98
73,4,25,1,499.99,0.07,464.99
73,5,23,2,299.99,0.2,479.98
74,1,16,2,599.99,0.05,1139.98
74,2,6,1,469.99,0.07,437.09
75,1,3,1,999.99,0.1,899.99
75,2,7,2,3999.99,0.07,7439.98
75,3,15,1,529.99,0.2,423.99
76,1,12,1,549.99,0.05,522.49
76,2,11,2,1680.99,0.1,3025.78
76,3,5,1,1320.99,0.07,1228.52
77,1,20,1,599.99,0.07,557.99
77,2,24,2,549.99,0.1,989.98
77,3,26,1,599.99,0.2,479.99
77,4,25,1,499.99,0.2,399.99
78,1,17,1,429,0.07,398.97
78,2,19,1,449,0.2,359.2
78,3,18,2,449,0.1,808.2
78,4,14,2,269.99,0.1,485.98
79,1,9,2,2999.99,0.1,5399.98
79,2,17,2,429,0.05,815.1
79,3,6,1,469.99,0.1,422.99
79,4,25,2,499.99,0.07,929.98
80,1,26,1,599.99,0.1,539.99
80,2,24,1,549.99,0.1,494.99
80,3,17,1,429,0.2,343.2
81,1,10,2,1549,0.2,2478.4
81,2,23,2,299.99,0.05,569.98
81,3,25,2,499.99,0.05,949.98
82,1,25,2,499.99,0.1,899.98
82,2,11,2,1680.99,0.2,2689.58
83,1,20,1,599.99,0.2,479.99
83,2,3,2,999.99,0.05,1899.98
84,1,23,2,299.99,0.07,557.98
84,2,15,2,529.99,0.07,985.78
85,1,4,2,2899.99,0.05,5509.98
85,2,18,1,449,0.07,417.57
86,1,9,2,2999.99,0.1,5399.98
86,2,23,2,299.99,0.07,557.98
86,3,21,2,269.99,0.2,431.98
86,4,15,1,529.99,0.1,476.99
87,1,20,2,599.99,0.2,959.98
87,2,23,2,299.99,0.1,539.98
88,1,10,1,1549,0.07,1440.57
88,2,8,2,1799.99,0.1,3239.98
88,3,7,1,3999.99,0.1,3599.99
89,1,5,1,1320.99,0.05,1254.94
89,2,6,2,469.99,0.1,845.98
90,1,3,1,999.99,0.1,899.99
90,2,6,1,469.99,0.07,437.09
91,1,11,1,1680.99,0.1,1512.89
91,2,25,1,499.99,0.05,474.99
91,3,15,2,529.99,0.07,985.78
91,4,13,2,269.99,0.07,502.18
92,1,8,1,1799.99,0.1,1619.99
93,1,22,2,269.99,0.07,502.18
93,2,17,1,429,0.05,407.55
93,3,21,1,269.99,0.1,242.99
93,4,2,1,749.99,0.2,599.99
93,5,10,2,1549,0.07,2881.14
94,1,12,1,549.99,0.05,522.49
94,2,4,1,2899.99,0.2,2319.99
94,3,11,1,1680.99,0.2,1344.79
94,4,21,2,269.99,0.07,502.18
95,1,10,2,1549,0.2,2478.4
95,2,19,1,449,0.1,404.1
95,3,8,2,1799.99,0.2,2879.98
95,4,20,2,599.99,0.05,1139.98
96,1,26,1,599.99,0.1,539.99
96,2,23,1,299.99,0.05,284.99
97,1,20,2,599.99,0.2,959.98
97,2,2,1,749.99,0.07,697.49
97,3,6,2,469.99,0.2,751.98
97,4,19,1,449,0.1,404.1
98,1,19,1,449,0.07,417.57
98,2,21,1,269.99,0.1,242.99
98,3,2,1,749.99,0.2,599.99
98,4,22,2,269.99,0.2,431.98
99,1,13,1,269.99,0.2,215.99
99,2,21,1,269.99,0.2,215.99
99,3,25,2,499.99,0.05,949.98
99,4,7,2,3999.99,0.07,7439.98
99,5,23,2,299.99,0.2,479.98
100,1,12,2,549.99,0.05,1044.98
100,2,11,2,1680.99,0.1,3025.78
100,3,7,2,3999.99,0.2,6399.98
100,4,16,2,599.99,0.2,959.98
100,5,24,2,549.99,0.1,989.98
101,1,12,2,549.99,0.2,879.98
102,1,15,1,529.99,0.05,503.49
102,2,22,1,269.99,0.07,251.09
103,1,17,1,429,0.07,398.97
103,2,3,1,999.99,0.05,949.99
103,3,18,1,449,0.2,359.2
103,4,15,2,529.99,0.1,953.98
103,5,9,2,2999.99,0.1,5399.98
104,1,19,2,449,0.1,808.2
104,2,26,1,599.99,0.05,569.99
105,1,11,2,1680.99,0.2,2689.58
105,2,3,1,999.99,0.05,949.99
105,3,9,1,2999.99,0.05,2849.99
106,1,17,1,429,0.1,386.1
106,2,13,2,269.99,0.1,485.98
107,1,19,1,449,0.2,359.2
107,2,13,2,269.99,0.1,485.98
108,1,11,1,1680.99,0.1,1512.89
108,2,22,2,269.99,0.07,502.18
108,3,16,2,599.99,0.05,1139.98
109,1,22,2,269.99,0.1,485.98
109,2,6,1,469.99,0.07,437.09
110,1,14,1,269.99,0.1,242.99
111,1,14,1,269.99,0.1,242.99
111,2,12,2,549.99,0.07,1022.98
112,1,23,2,299.99,0.2,479.98
112,2,25,2,499.99,0.07,929.98
112,3,24,2,549.99,0.05,1044.98
112,4,5,1,1320.99,0.2,1056.79
113,1,12,2,549.99,0.07,1022.98
113,2,24,2,549.99,0.1,989.98
113,3,6,1,469.99,0.07,437.09
113,4,23,1,299.99,0.2,239.99
113,5,5,2,1320.99,0.2,2113.58
114,1,12,1,549.99,0.05,522.49
114,2,2,1,749.99,0.07,697.49
114,3,13,2,269.99,0.1,485.98
115,1,22,1,269.99,0.2,215.99
115,2,19,1,449,0.1,404.1
116,1,26,1,599.99,0.05,569.99
117,1,22,2,269.99,0.2,431.98
117,2,26,1,599.99,0.05,569.99
117,3,14,1,269.99,0.2,215.99
117,4,19,1,449,0.05,426.55
118,1,18,1,449,0.07,417.57
118,2,4,1,2899.99,0.07,2696.99
118,3,6,1,469.99,0.07,437.09
118,4,3,2,999.99,0.1,1799.98
118,5,23,2,299.99,0.07,557.98
119,1,25,1,499.99,0.05,474.99
120,1,13,2,269.99,0.05,512.98
120,2,6,2,469.99,0.05,892.98
120,3,10,2,1549,0.05,2943.1
120,4,17,1,429,0.05,407.55
120,5,16,2,599.99,0.2,959.98
121,1,5,1,1320.99,0.2,1056.79
121,2,14,2,269.99,0.1,485.98
121,3,4,2,2899.99,0.1,5219.98
121,4,24,2,549.99,0.07,1022.98
121,5,2,2,749.99,0.05,1424.98
122,1,16,1,599.99,0.1,539.99
123,1,12,2,549.99,0.1,989.98
124,1,16,1,599.99,0.05,569.99
124,2,4,1,2899.99,0.07,2696.99
124,3,7,2,3999.99,0.05,7599.98
125,1,17,1,429,0.1,386.1
126,1,9,2,2999.99,0.05,5699.98
127,1,17,1,429,0.07,398.97
127,2,20,1,599.99,0.1,539.99
127,3,4,2,2899.99,0.07,5393.98
128,1,24,2,549.99,0.1,989.98
128,2,16,2,599.99,0.1,1079.98
128,3,4,2,2899.99,0.2,4639.98
128,4,3,2,999.99,0.2,1599.98
129,1,18,1,449,0.1,404.1
129,2,9,1,2999.99,0.1,2699.99
130,1,26,1,599.99,0.05,569.99
130,2,5,2,1320.99,0.07,2457.04
131,1,22,2,269.99,0.2,431.98
131,2,4,2,2899.99,0.07,5393.98
131,3,24,2,549.99,0.1,989.98
132,1,2,2,749.99,0.05,1424.98
132,2,20,1,599.99,0.05,569.99
132,3,9,1,2999.99,0.1,2699.99
133,1,13,2,269.99,0.05,512.98
133,2,22,1,269.99,0.2,215.99
134,1,19,2,449,0.1,808.2
134,2,2,2,749.99,0.07,1394.98
134,3,18,2,449,0.07,835.14
135,1,5,2,1320.99,0.05,2509.88
135,2,18,2,449,0.05,853.1
135,3,25,1,499.99,0.2,399.99
135,4,2,1,749.99,0.05,712.49
136,1,7,2,3999.99,0.2,6399.98
136,2,3,2,999.99,0.05,1899.98
137,1,23,1,299.99,0.07,278.99
137,2,22,1,269.99,0.1,242.99
138,1,16,2,599.99,0.1,1079.98
138,2,6,1,469.99,0.2,375.99
139,1,19,2,449,0.07,835.14
139,2,3,1,999.99,0.07,929.99
140,1,15,1,529.99,0.2,423.99
140,2,21,1,269.99,0.2,215.99
140,3,12,2,549.99,0.2,879.98
140,4,3,1,999.99,0.05,949.99
141,1,18,1,449,0.2,359.2
142,1,16,2,599.99,0.1,1079.98
142,2,11,2,1680.99,0.1,3025.78
142,3,19,1,449,0.07,417.57
143,1,6,1,469.99,0.2,375.99
144,1,8,2,1799.99,0.05,3419.98
145,1,11,1,1680.99,0.2,1344.79
145,2,9,2,2999.99,0.1,5399.98
146,1,3,2,999.99,0.2,1599.98
146,2,12,1,549.99,0.1,494.99
146,3,20,2,599.99,0.1,1079.98
146,4,6,2,469.99,0.05,892.98
146,5,2,1,749.99,0.07,697.49
147,1,26,2,599.99,0.2,959.98
148,1,14,1,269.99,0.05,256.49
149,1,12,2,549.99,0.07,1022.98
149,2,21,2,269.99,0.07,502.18
150,1,7,1,3999.99,0.1,3599.99
150,2,3,1,999.99,0.2,799.99
150,3,17,1,429,0.07,398.97
150,4,25,2,499.99,0.07,929.98
151,1,17,1,429,0.1,386.1
151,2,26,1,599.99,0.1,539.99
152,1,6,2,469.99,0.2,751.98
152,2,22,2,269.99,0.2,431.98
152,3,16,2,599.99,0.07,1115.98
153,1,16,1,599.99,0.07,557.99
153,2,8,1,1799.99,0.07,1673.99
153,3,15,2,529.99,0.05,1006.98
154,1,12,1,549.99,0.1,494.99
155,1,8,1,1799.99,0.1,1619.99
156,1,18,2,449,0.2,718.4
156,2,17,2,429,0.05,815.1
156,3,6,1,469.99,0.07,437.09
157,1,4,1,2899.99,0.1,2609.99
157,2,7,2,3999.99,0.07,7439.98
158,1,24,1,549.99,0.1,494.99
159,1,13,1,269.99,0.2,215.99
160,1,21,1,269.99,0.07,251.09
160,2,15,2,529.99,0.07,985.78
160,3,18,2,449,0.1,808.2
160,4,11,1,1680.99,0.05,1596.94
161,1,24,2,549.99,0.07,1022.98
161,2,22,1,269.99,0.05,256.49
161,3,7,2,3999.99,0.05,7599.98
162,1,18,1,449,0.07,417.57
162,2,21,2,269.99,0.07,502.18
162,3,3,2,999.99,0.1,1799.98
163,1,12,1,549.99,0.1,494.99
163,2,18,1,449,0.2,359.2
164,1,4,2,2899.99,0.05,5509.98
164,2,10,2,1549,0.05,2943.1
164,3,14,1,269.99,0.1,242.99
165,1,4,2,2899.99,0.05,5509.98
165,2,23,1,299.99,0.2,239.99
165,3,2,1,749.99,0.05,712.49
166,1,10,2,1549,0.1,2788.2
166,2,11,1,1680.99,0.2,1344.79
167,1,12,1,549.99,0.05,522.49
167,2,10,1,1549,0.2,1239.2
167,3,13,2,269.99,0.05,512.98
167,4,7,2,3999.99,0.05,7599.98
168,1,6,1,469.99,0.1,422.99
168,2,11,2,1680.99,0.07,3126.64
168,3,12,2,549.99,0.07,1022.98
168,4,22,2,269.99,0.2,431.98
169,1,20,2,599.99,0.1,1079.98
169,2,5,1,1320.99,0.05,1254.94
169,3,10,1,1549,0.2,1239.2
169,4,11,1,1680.99,0.2,1344.79
169,5,14,2,269.99,0.05,512.98
170,1,12,2,549.99,0.1,989.98
170,2,24,1,549.99,0.05,522.49
170,3,7,1,3999.99,0.2,3199.99
170,4,18,2,449,0.05,853.1
171,1,8,1,1799.99,0.05,1709.99
172,1,23,1,299.99,0.07,278.99
172,2,16,1,599.99,0.2,479.99
173,1,14,1,269.99,0.05,256.49
173,2,16,1,599.99,0.2,479.99
173,3,20,2,599.99,0.05,1139.98
174,1,22,2,269.99,0.2,431.98
174,2,19,2,449,0.1,808.2
175,1,5,1,1320.99,0.1,1188.89
175,2,2,2,749.99,0.2,1199.98
175,3,21,2,269.99,0.1,485.98
175,4,19,1,449,0.07,417.57
176,1,2,2,749.99,0.07,1394.98
176,2,11,2,1680.99,0.2,2689.58
176,3,16,2,599.99,0.05,1139.98
177,1,20,2,599.99,0.1,1079.98
178,1,10,2,1549,0.2,2478.4
178,2,12,1,549.99,0.05,522.49
178,3,3,1,999.99,0.1,899.99
178,4,18,1,449,0.07,417.57
179,1,13,2,269.99,0.05,512.98
179,2,26,1,599.99,0.1,539.99
179,3,18,1,449,0.2,359.2
179,4,12,2,549.99,0.2,879.98
179,5,20,2,599.99,0.1,1079.98
180,1,16,1,599.99,0.07,557.99
181,1,10,1,1549,0.05,1471.55
181,2,11,1,1680.99,0.1,1512.89
181,3,15,2,529.99,0.2,847.98
181,4,24,2,549.99,0.05,1044.98
182,1,25,2,499.99,0.05,949.98
182,2,24,2,549.99,0.07,1022.98
183,1,11,2,1680.99,0.2,2689.58
183,2,12,2,549.99,0.05,1044.98
183,3,19,1,449,0.07,417.57
183,4,17,1,429,0.07,398.97
184,1,4,1,2899.99,0.2,2319.99
184,2,5,1,1320.99,0.1,1188.89
184,3,14,1,269.99,0.1,242.99
185,1,20,1,599.99,0.1,539.99
185,2,8,1,1799.99,0.05,1709.99
186,1,4,1,2899.99,0.1,2609.99
186,2,6,1,469.99,0.1,422.99
187,1,5,1,1320.99,0.05,1254.94
188,1,7,2,3999.99,0.07,7439.98
189,1,16,2,599.99,0.2,959.98
190,1,24,1,549.99,0.05,522.49
190,2,15,1,529.99,0.2,423.99
190,3,3,2,999.99,0.2,1599.98
191,1,25,1,499.99,0.05,474.99
191,2,12,2,549.99,0.2,879.98
191,3,3,1,999.99,0.07,929.99
191,4,8,2,1799.99,0.05,3419.98
191,5,23,1,299.99,0.05,284.99
192,1,8,2,1799.99,0.1,3239.98
192,2,25,1,499.99,0.07,464.99
192,3,2,1,749.99,0.05,712.49
192,4,24,2,549.99,0.07,1022.98
192,5,10,2,1549,0.2,2478.4
193,1,12,2,549.99,0.1,989.98
194,1,21,2,269.99,0.2,431.98
195,1,18,1,449,0.2,359.2
195,2,14,1,269.99,0.05,256.49
195,3,5,2,1320.99,0.2,2113.58
195,4,4,2,2899.99,0.2,4639.98
195,5,21,2,269.99,0.1,485.98
196,1,6,1,469.99,0.05,446.49
196,2,3,2,999.99,0.07,1859.98
196,3,10,2,1549,0.07,2881.14
196,4,12,1,549.99,0.07,511.49
196,5,20,1,599.99,0.1,539.99
197,1,4,2,2899.99,0.2,4639.98
197,2,2,2,749.99,0.07,1394.98
198,1,6,2,469.99,0.05,892.98
198,2,20,2,599.99,0.07,1115.98
198,3,8,2,1799.99,0.2,2879.98
198,4,13,2,269.99,0.05,512.98
198,5,17,1,429,0.05,407.55
199,1,25,2,499.99,0.05,949.98
199,2,18,2,449,0.07,835.14
199,3,4,1,2899.99,0.2,2319.99
200,1,23,2,299.99,0.05,569.98
200,2,22,2,269.99,0.07,502.18
201,1,24,1,549.99,0.05,522.49
201,2,7,1,3999.99,0.2,3199.99
201,3,14,2,269.99,0.1,485.98
201,4,17,1,429,0.05,407.55
202,1,8,1,1799.99,0.07,1673.99
202,2,17,1,429,0.05,407.55
202,3,15,2,529.99,0.05,1006.98
202,4,25,2,499.99,0.05,949.98
203,1,26,1,599.99,0.05,569.99
203,2,3,2,999.99,0.1,1799.98
203,3,17,2,429,0.2,686.4
203,4,19,2,449,0.07,835.14
204,1,6,2,469.99,0.07,874.18
204,2,17,2,429,0.1,772.2
205,1,22,2,269.99,0.05,512.98
205,2,24,2,549.99,0.1,989.98
206,1,25,1,499.99,0.05,474.99
206,2,20,1,599.99,0.2,479.99
207,1,12,2,549.99,0.2,879.98
207,2,5,1,1320.99,0.05,1254.94
207,3,11,2,1680.99,0.07,3126.64
207,4,7,2,3999.99,0.1,7199.98
208,1,6,2,469.99,0.05,892.98
208,2,4,2,2899.99,0.07,5393.98
208,3,3,1,999.99,0.05,949.99
208,4,12,1,549.99,0.2,439.99
208,5,10,2,1549,0.05,2943.1
209,1,13,1,269.99,0.1,242.99
210,1,14,1,269.99,0.07,251.09
210,2,13,2,269.99,0.2,431.98
211,1,10,1,1549,0.07,1440.57
211,2,2,2,749.99,0.07,1394.98
212,1,16,2,599.99,0.07,1115.98
212,2,12,2,549.99,0.2,879.98
212,3,19,1,449,0.1,404.1
212,4,7,1,3999.99,0.2,3199.99
213,1,13,1,269.99,0.1,242.99
214,1,21,1,269.99,0.1,242.99
215,1,19,1,449,0.07,417.57
215,2,12,2,549.99,0.1,989.98
216,1,22,2,269.99,0.1,485.98
216,2,16,2,599.99,0.05,1139.98
217,1,18,1,449,0.1,404.1
217,2,10,2,1549,0.1,2788.2
217,3,17,1,429,0.07,398.97
218,1,2,2,749.99,0.1,1349.98
218,2,13,1,269.99,0.07,251.09
218,3,12,1,549.99,0.05,522.49
219,1,26,1,599.99,0.05,569.99
219,2,5,1,1320.99,0.2,1056.79
220,1,6,2,469.99,0.05,892.98
220,2,25,1,499.99,0.07,464.99
220,3,22,2,269.99,0.1,485.98
220,4,3,2,999.99,0.2,1599.98
221,1,11,2,1680.99,0.07,3126.64
222,1,10,1,1549,0.1,1394.1
222,2,2,2,749.99,0.1,1349.98
223,1,7,2,3999.99,0.05,7599.98
223,2,5,1,1320.99,0.2,1056.79
223,3,21,2,269.99,0.1,485.98
223,4,20,1,599.99,0.05,569.99
223,5,15,1,529.99,0.05,503.49
224,1,6,1,469.99,0.07,437.09
224,2,11,2,1680.99,0.1,3025.78
224,3,10,2,1549,0.2,2478.4
224,4,25,1,499.99,0.05,474.99
225,1,21,1,269.99,0.1,242.99
225,2,9,1,2999.99,0.1,2699.99
226,1,2,1,749.99,0.05,712.49
227,1,3,2,999.99,0.05,1899.98
227,2,15,2,529.99,0.1,953.98
228,1,25,1,499.99,0.2,399.99
228,2,2,2,749.99,0.07,1394.98
228,3,23,2,299.99,0.1,539.98
228,4,4,1,2899.99,0.2,2319.99
228,5,22,1,269.99,0.05,256.49
229,1,25,2,499.99,0.2,799.98
229,2,5,2,1320.99,0.1,2377.78
229,3,8,1,1799.99,0.2,1439.99
230,1,11,2,1680.99,0.07,3126.64
231,1,8,2,1799.99,0.07,3347.98
231,2,14,2,269.99,0.2,431.98
231,3,5,2,1320.99,0.2,2113.58
232,1,18,1,449,0.07,417.57
232,2,11,2,1680.99,0.05,3193.88
232,3,26,2,599.99,0.07,1115.98
232,4,8,2,1799.99,0.1,3239.98
233,1,14,1,269.99,0.1,242.99
233,2,16,2,599.99,0.1,1079.98
233,3,12,1,549.99,0.2,439.99
233,4,15,2,529.99,0.07,985.78
234,1,11,2,1680.99,0.2,2689.58
234,2,17,2,429,0.05,815.1
234,3,12,1,549.99,0.1,494.99
234,4,7,1,3999.99,0.05,3799.99
234,5,23,1,299.99,0.1,269.99
235,1,6,1,469.99,0.07,437.09
235,2,13,2,269.99,0.05,512.98
235,3,7,2,3999.99,0.05,7599.98
236,1,3,2,999.99,0.07,1859.98
236,2,2,2,749.99,0.1,1349.98
236,3,4,2,2899.99,0.1,5219.98
237,1,15,1,529.99,0.2,423.99
237,2,24,1,549.99,0.07,511.49
237,3,20,2,599.99,0.2,959.98
237,4,26,1,599.99,0.05,569.99
238,1,20,2,599.99,0.2,959.98
238,2,25,1,499.99,0.07,464.99
238,3,13,2,269.99,0.2,431.98
238,4,22,2,269.99,0.05,512.98
238,5,7,1,3999.99,0.07,3719.99
239,1,16,2,599.99,0.1,1079.98
239,2,21,2,269.99,0.05,512.98
239,3,18,1,449,0.07,417.57
239,4,4,2,2899.99,0.07,5393.98
240,1,9,1,2999.99,0.07,2789.99
240,2,8,1,1799.99,0.07,1673.99
240,3,5,1,1320.99,0.07,1228.52
240,4,18,2,449,0.07,835.14
241,1,7,1,3999.99,0.2,3199.99
242,1,3,1,999.99,0.2,799.99
243,1,25,2,499.99,0.05,949.98
243,2,19,2,449,0.07,835.14
